,prcod,prccd,prchd,prcld,cshtrd,tic,ajexdi,datadate
2019-07-01,47.96074074074074,47.5075,48.46,47.04,5625880.055555556,ATVI,1.0,20190701
2019-07-02,47.50782608695652,48.1,48.815,47.49,6882293.043806644,ATVI,1.0,20190702
2019-07-03,48.1,48.672224267782425,49.0,47.73,4146596.263724734,ATVI,1.0,20190703
2019-07-04,48.58,48.84514476987447,48.84514476987447,48.58,108126.5271966527,ATVI,1.0,20190704
2019-07-05,48.58,47.985852144469526,49.0,46.6201,6955929.050994314,ATVI,1.0,20190705
2019-07-08,47.99546275395034,46.425432098765434,47.99546275395034,46.225,7898091.688351729,ATVI,1.0,20190708
2019-07-09,46.42,46.26915422885572,46.705,45.725,4763922.4068546165,ATVI,1.0,20190709
2019-07-10,46.26965174129353,46.94728873239437,47.37,46.19,4819817.515550182,ATVI,1.0,20190710
2019-07-11,46.951144366197184,47.67025423728814,47.7,46.43,5268252.520470279,ATVI,1.0,20190711
2019-07-12,47.66970338983051,47.586741573033706,47.71,47.04,150351094.24101982,ATVI,1.0,20190712
2019-07-15,47.58685393258427,47.69804311774461,47.85,46.87,5385258.4410360055,ATVI,1.0,20190715
2019-07-16,47.69807628524047,46.93798008534851,47.9,46.66,5132052.741962308,ATVI,1.0,20190716
2019-07-17,46.93815078236131,46.7473544973545,47.51,46.43,5402262.987604145,ATVI,1.0,20190717
2019-07-18,46.74761904761905,45.85,46.75,45.49,8435282.34562212,ATVI,1.0,20190718
2019-07-19,45.85,45.6587887017925,46.11,45.0,6268573.40152617,ATVI,1.0,20190719
2019-07-22,45.63008690928843,45.63876462938882,45.79,44.8101,4031398.766412922,ATVI,1.0,20190722
2019-07-23,45.63886866059818,45.81371428571428,46.02,45.29,4086859.8435816457,ATVI,1.0,20190723
2019-07-24,45.81428571428571,47.590582524271845,47.590582524271845,45.5,4355361.64632455,ATVI,1.0,20190724
2019-07-25,46.89165048543689,47.132,48.3,46.35,4796437.534627832,ATVI,1.0,20190725
2019-07-26,47.131,48.061023489932886,48.3,47.01,6306244.905257273,ATVI,1.0,20190726
2019-07-29,48.06101510067114,48.34998751560549,48.55,47.07,4956442.222333241,ATVI,1.0,20190729
2019-07-30,47.800149812734084,48.61725557461406,48.87,47.5,5127333.196480386,ATVI,1.0,20190730
2019-07-31,48.61732418524871,48.728897396630934,49.9297,48.38,8804403.676337473,ATVI,1.0,20190731
2019-08-01,48.73392036753446,49.56160714285714,51.24,48.72909647779479,11174225.89006782,ATVI,1.0,20190801
2019-08-02,49.65,47.782051282051285,51.35,47.782051282051285,10027210.642857142,ATVI,1.0,20190802
2019-08-05,48.146153846153844,46.55863636363636,48.37,45.02,11032326.795454545,ATVI,1.0,20190805
2019-08-06,46.60511363636363,47.75,47.75,46.3846,7700966.204545455,ATVI,1.0,20190806
2019-08-07,47.52489361702128,48.88203389830509,48.89,46.0,8112013.610169492,ATVI,1.0,20190807
2019-08-08,48.87406779661017,48.88,51.25,46.75,13944860.889830504,ATVI,1.0,20190808
2019-08-09,48.875263157894736,48.00878048780488,49.2,47.11,11426632.475609755,ATVI,1.0,20190809
2019-08-12,48.01024390243902,46.87213333333333,48.5,46.7,6588429.231056911,ATVI,1.0,20190812
2019-08-13,46.87241481481481,48.13757575757576,48.37,46.47,5361447.8589899,ATVI,1.0,20190813
2019-08-14,48.13577441077442,45.408686868686864,48.23,45.0,9541695.525252523,ATVI,1.0,20190814
2019-08-15,45.405454545454546,46.0131506849315,46.56,44.86,6211465.689912827,ATVI,1.0,20190815
2019-08-16,46.013698630136986,46.94396551724138,47.17,45.51,6236702.107109116,ATVI,1.0,20190816
2019-08-19,46.94284482758621,48.07551601423487,48.3,46.82,5632506.564026263,ATVI,1.0,20190819
2019-08-20,48.07537366548043,48.98104046242774,49.04,46.6,7690184.539372181,ATVI,1.0,20190820
2019-08-21,48.97757225433526,49.01147368421052,49.54,48.15,4058969.5928810462,ATVI,1.0,20190821
2019-08-22,49.011421052631576,49.073344051446945,49.3,48.3,4143116.8997123037,ATVI,1.0,20190822
2019-08-23,49.07382636655949,47.915,49.38,47.01,8899470.26607717,ATVI,1.0,20190823
